ID,Materia,Curso,Tipo,Link
46808,economia da saúde,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46808,&d=false"
46750,open source development,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46750,&d=false"
46568,design de software,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46568,&d=false"
46560,direito para startups,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46560,&d=false"
46536,computação embarcada,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46536,&d=false"
46533,sistema de segurança pública no brasil,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46533,&d=false"
46516,financial crises,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46516,&d=false"
46496,eletromagnetismo e ondulatória,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46496,&d=false"
46486,iot (internet das coisas),engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46486,&d=false"
46460,agile best practices for effective project management,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46460,&d=false"
46434,desafios públicos contemporâneos,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46434,&d=false"
46395,machine learning ops & interviews,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46395,&d=false"
46333,empreenda: da ideia ao mvp,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46333,&d=false"
46318,computação em nuvem,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46318,&d=false"
46314,tecnologias hacker,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46314,&d=false"
46306,mergers and acquisitions,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46306,&d=false"
46278,advanced topics in valuation,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46278,&d=false"
46236,biomedical manufacturing,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46236,&d=false"
46222,big data para dados públicos,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46222,&d=false"
46211,modelos modernos de demanda agregada: teoria e aplicações,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46211,&d=false"
46188,física do movimento,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46188,&d=false"
46182,camada física da computação,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46182,&d=false"
46164,acionamentos elétricos,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46164,&d=false"
46146,marketing analítico avançado,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46146,&d=false"
46122,vehicle performance,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46122,&d=false"
46110,cenários macroeconômicos para negócios,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46110,&d=false"
46078,globalization and sustainability,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46078,&d=false"
46060,analysis of the economic environment,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46060,&d=false"
46021,comportamento empreendedor,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=46021,&d=false"
45991,econometria financeira avançada,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45991,&d=false"
45949,microeconometria avançada,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45949,&d=false"
45920,natureza do design,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45920,&d=false"
45896,lógica da computação,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45896,&d=false"
45856,introduction to quantum computing,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45856,&d=false"
45844,jogos avançados,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45844,&d=false"
45802,applied corporate finance,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45802,&d=false"
45759,"brasil 200+: passado, presente e futuro",engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45759,&d=false"
45747,matemática multivariada,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45747,&d=false"
45730,modelagem e simulação do mundo físico,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45730,&d=false"
45717,intraempreendedorismo digital,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45717,&d=false"
45678,matemática da variação,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45678,&d=false"
45648,macroeconometria 1,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45648,&d=false"
45561,grandes desafios da engenharia,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45561,&d=false"
45543,projeto final de engenharia,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45543,&d=false"
45539,equações diferenciais ordinárias em economia,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45539,&d=false"
45515,drones,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45515,&d=false"
45380,gestão e execução estratégica,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45380,&d=false"
45349,mercados e instrumentos de renda fixa,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45349,&d=false"
45292,desconstruindo a matéria,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45292,&d=false"
45244,modelagem preditiva,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45244,&d=false"
45208,python para ciência de dados,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45208,&d=false"
45124,latin america today: economic performance and political institutions in the last 20 years,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45124,&d=false"
45041,global value chains,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45041,&d=false"
45022,execução empreendedora,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=45022,&d=false"
44983,megadados,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=44983,&d=false"
44978,empreendedorismo estratégico,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=44978,&d=false"
44927,tecnologias web,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=44927,&d=false"
44843,conscious consumption and marketing,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=44843,&d=false"
44811,robótica computacional,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=44811,&d=false"
44770,smart operations,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=44770,&d=false"
44746,gestão de esportes,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=44746,&d=false"
44720,leadership and digital transformation,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=44720,&d=false"
44667,transferências de calor e mecânica dos sólidos,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=44667,&d=false"
44615,estratégia e projeto da produção,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=44615,&d=false"
44557,estruturação de controladoria em pequenas empresas e empresas familiares,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=44557,&d=false"
44526,ciência dos dados,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=44526,&d=false"
44464,design de computadores,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=44464,&d=false"
44377,computer vision,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=44377,&d=false"
44292,mathematical economics,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=44292,&d=false"
44280,teorias de democratização: uma análise baseada em teoria dos jogos,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=44280,&d=false"
44151,elementos de sistemas,engenharia de computação,obrigatória,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=44151,&d=false"
44078,engineering analytics ii,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=44078,&d=false"
44064,sustainability-based strategy,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=44064,&d=false"
